domain,sentiment_mean,sentiment_std,subjectivity_mean,subjectivity_std,counting
www.stern.de,-0.13581925478524742,0.22125412640042227,0.05491800887021475,0.1279750943077999,272.0
www.zeit.de,-0.062057922584238374,0.19631445096762196,0.03270676691729323,0.1019735163447133,171.0
www.tagesspiegel.de,-0.05869249284413219,0.19924746957981984,0.058466042154566744,0.10725005809017482,122.0
www.bild.de,-0.05754810004810005,0.2583500298931078,0.061309523809523814,0.1186014073492486,66.0
www.tagesschau.de,0.007840136054421762,0.21170582162821283,0.17183248299319726,0.19490147492588014,28.0
www.welt.de,-0.0622984126984127,0.21870974113933875,0.055746031746031745,0.10306905468060644,25.0
www.n-tv.de,0.0014007936507936393,0.2765092844324799,0.07822222222222222,0.1209682112708543,25.0
www.morgenpost.de,-0.011776190476190478,0.16440655752269306,0.10657142857142857,0.1626649404205642,25.0
www.faz.net,-0.010175983436853001,0.2010718927071976,0.0894927536231884,0.1510530667861704,23.0
www.sueddeutsche.de,-0.09225108225108225,0.19412746124308503,0.0743939393939394,0.11638917731662421,22.0
www.diepresse.com,0.004722222222222222,0.12656633022930078,0.09087301587301587,0.16532926794753966,18.0
orf.at,-0.03640625,0.22638906995561947,0.06302083333333333,0.12920586322838679,16.0
www.focus.de,-0.07005208333333333,0.1089527032749804,0.07976190476190476,0.1070669925416434,16.0
www.ibiza-heute.de,0.08385416666666665,0.35628900162448385,0.025,0.07071067811865475,8.0
www.dw.com,0.046354166666666655,0.10175633974633437,0.13541666666666666,0.14041816800101725,8.0
taz.de,-0.16805555555555554,0.18627391599820173,0.2934027777777778,0.1877295038681319,8.0
www.nzz.ch,0.009523809523809521,0.11660996354464569,0.08843537414965986,0.15165644088168675,7.0
steiermark.orf.at,0.08513888888888889,0.18514890153803434,0.025000000000000005,0.041833001326703784,6.0
www.spektrum.de,-0.04033333333333333,0.10239086330766477,0.056666666666666664,0.05217491947499509,5.0
versicherungswirtschaft-heute.de,-0.03958333333333333,0.04583333333333334,0.1875,0.125,4.0
hallespektrum.de,0.01458333333333333,0.16754974385735916,0.14583333333333331,0.1717960677340692,4.0
burgenland.orf.at,0.15166666666666664,0.2881984270139817,0.08888888888888889,0.10183501544346311,3.0
noe.orf.at,-0.19999999999999998,0.18874586088176873,0.1111111111111111,0.1272937693043289,3.0
kaernten.orf.at,-0.039583333333333325,0.10901229543292608,0.0,0.0,2.0
ooe.orf.at,-0.12083333333333333,0.170884138786749,0.0,0.0,2.0
wien.orf.at,0.08333333333333334,0.282842712474619,0.08333333333333333,0.11785113019775792,2.0
science.orf.at,0.18125,0.061871843353822925,0.041666666666666664,0.05892556509887896,2.0
www.golem.de,0.049999999999999996,0.0,0.14285714285714285,0.20203050891044214,2.0
www.jw.org,0.0,1.0,0.0,1.0,1.0
www.freitag.de,0.0,1.0,0.0,1.0,1.0
www.rtl.de,0.0,1.0,0.0,1.0,1.0
de.catholicnewsagency.com,0.0,1.0,0.0,1.0,1.0
oesterreich.orf.at,0.0,1.0,0.0,1.0,1.0
tirol.orf.at,0.0,1.0,0.0,1.0,1.0
laut.de,0.0,1.0,0.0,1.0,1.0
www.derstandard.at,0.0,1.0,0.0,1.0,1.0
www.telepolis.de,0.0,1.0,0.0,1.0,1.0
www.visions.de,0.0,1.0,0.0,1.0,1.0
www.br.de,0.0,1.0,0.0,1.0,1.0
salzburg.orf.at,0.0,1.0,0.0,1.0,1.0
